Segment,Rank,Cam Master,Cam Slave,MPJPE (mm),PA-MPJPE (mm),Avg Score,local_belief Master,local_belief Slave,Old MPJPE,Old PA-MPJPE,Delta_MPJPE,Delta_PA-MPJPE,MPJPE_head,MPJPE_left_ankle,MPJPE_left_elbow,MPJPE_left_hip,MPJPE_left_knee,MPJPE_left_shoulder,MPJPE_left_wrist,MPJPE_right_ankle,MPJPE_right_elbow,MPJPE_right_hip,MPJPE_right_knee,MPJPE_right_shoulder,MPJPE_right_wrist,PA-MPJPE_head,PA-MPJPE_left_ankle,PA-MPJPE_left_elbow,PA-MPJPE_left_hip,PA-MPJPE_left_knee,PA-MPJPE_left_shoulder,PA-MPJPE_left_wrist,PA-MPJPE_right_ankle,PA-MPJPE_right_elbow,PA-MPJPE_right_hip,PA-MPJPE_right_knee,PA-MPJPE_right_shoulder,PA-MPJPE_right_wrist
seg_4,59,cam6,cam0,N/A,N/A,N/A,0.00,0.00,N/A,N/A,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
seg_4,60,cam6,cam1,N/A,N/A,N/A,0.00,0.00,N/A,N/A,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
seg_4,61,cam6,cam2,N/A,N/A,N/A,0.00,0.00,N/A,N/A,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
seg_4,62,cam6,cam3,N/A,N/A,N/A,0.00,0.00,N/A,N/A,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
seg_4,63,cam6,cam4,N/A,N/A,N/A,0.00,0.00,N/A,N/A,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
seg_4,64,cam6,cam5,N/A,N/A,N/A,0.00,0.00,N/A,N/A,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
seg_4,65,cam6,cam7,N/A,N/A,N/A,0.00,0.00,N/A,N/A,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
seg_4,66,cam6,cam8,N/A,N/A,N/A,0.00,0.00,N/A,N/A,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
seg_4,67,cam7,cam1,N/A,N/A,N/A,0.00,0.00,N/A,N/A,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
seg_4,68,cam7,cam3,N/A,N/A,N/A,0.00,0.00,N/A,N/A,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
seg_4,69,cam7,cam6,N/A,N/A,N/A,0.00,0.00,N/A,N/A,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
seg_4,70,cam8,cam1,N/A,N/A,N/A,0.00,0.00,N/A,N/A,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
seg_4,71,cam8,cam3,N/A,N/A,N/A,0.00,0.00,N/A,N/A,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
seg_4,72,cam8,cam6,N/A,N/A,N/A,0.00,0.00,N/A,N/A,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
